jd mag magerr filt field flux fluxerr adjflux
2458645 18.588 0.04 zr 431 133.2988028066995 4.910909380106547 -5.047700377508789
2458648 18.654 0.083 zr 431 125.4371704683031 9.589147993078567 -12.909332715905208
2458651 18.421 0.092 zr 431 155.4627153439162 13.173153615915837 17.116212159707885
2458665 18.613 0.031 zr 431 130.264551611556 3.7193206621103974 -8.081951572652315
2458668 18.614 0.035 zr 431 130.1446287606725 4.195367149645962 -8.201874423535799
2458672 18.554 0.031 zr 431 137.53912240439047 3.927024608602728 -0.8073807798178336
2458678 18.525 0.063 zr 431 141.26229214742324 8.196764892140832 2.9157889632149363
2458685 18.531 0.04 zr 431 140.48380090396998 5.175614492297996 2.1372977197616763
2458689 18.556 0.036 zr 431 137.2859991847048 4.552022810872713 -1.06050399950351
2458692 18.57 0.041 zr 431 135.52713229562588 5.117829174130297 -2.8193708885824265
2458695 18.55 0.034 zr 431 138.04676980399552 4.322956306298585 -0.2997333802127855
2458698 18.55 0.039 zr 431 138.04676980399552 4.958685174871906 -0.2997333802127855
2458707 18.653 0.057 zr 431 125.5527555925803 6.591386597789046 -12.793747591628005
2458712 18.639 0.056 zr 431 127.18217533240534 6.559790294734916 -11.164327851802966
2458715 18.552 0.036 zr 431 137.79271232399228 4.568824012614359 -0.5537908602160257
2458718 18.624 0.054 zr 431 128.9514556322845 6.413508708309679 -9.395047551923795
2458726 18.5 0.039 zr 431 144.55271362797473 5.192380807405145 6.206210443766423
2458728 18.614 0.048 zr 431 130.1446287606725 5.753646376657319 -8.201874423535799
2458737 18.642 0.068 zr 431 126.83124304932647 7.94348064433892 -11.515260134881828
2458761 18.622 0.065 zr 431 129.18921190624252 7.734197991285038 -9.157291277965783
2458765 18.539 0.061 zr 431 139.45248219004182 7.834869442792115 1.1059790058335182
2458772 18.659 0.076 zr 431 124.86083902139622 8.740082281533645 -13.485664162812085
2458772 18.512 0.066 zr 431 142.96385452877857 8.69052202325828 4.617351344570267
2458776 18.672 0.129 zr 431 123.3747395644137 14.658571146528955 -14.9717636197946
2458776 18.412 0.062 zr 431 156.75674932739216 8.951454704840948 18.410246143183855
2458776 18.412 0.06 zr 431 156.75674932739216 8.662698101458982 18.410246143183855
2458778 18.578 0.072 zr 431 134.53220144322844 8.921429037240477 -3.8143017409798574
2458778 18.36 0.077 zr 431 164.4471112630046 11.662526782987932 26.100608078796284
2458778 18.616 0.08 zr 431 129.90511416380167 9.571762540072301 -8.441389020406632
2458854 18.558 0.04 zr 431 137.03334180603414 5.048494881371712 -1.3131613781741578
2458854 18.526 0.038 zr 431 141.13224466645445 4.9395288411884515 2.785741482246152
2458854 18.599 0.05 zr 431 131.95512089291927 6.076757886245262 -6.391382291289034
2458854 18.688 0.072 zr 431 121.56995303287614 8.061844654353223 -16.77655015133216
2458856 18.57 0.05 zr 431 135.52713229562588 6.241255090402802 -2.8193708885824265
2458856 18.683 0.062 zr 431 122.13109444023019 6.9741874887382265 -16.215408743978116
2458856 18.545 0.045 zr 431 138.68396474202058 5.747969337341192 0.3374615578122757
2458856 18.478 0.039 zr 431 147.51162556164243 5.298665892960295 9.16512237743413
2458860 18.594 0.067 zr 431 132.56419805712116 8.180441281135804 -5.782305127087142
2458860 18.634 0.074 zr 431 127.76922158088973 8.708305346686052 -10.577281603318568
2458860 18.515 0.069 zr 431 142.56937604359453 9.060476111874234 4.222872859386229
2458860 18.567 0.103 zr 431 135.9021254346364 12.89255977503843 -2.4443777495719132
2458864 18.432 0.045 zr 431 153.89561620666657 6.378439531582861 15.549113022458272
2458864 18.56 0.043 zr 431 136.78114941105747 5.417144052947666 -1.5653537731508322
2458864 18.549 0.042 zr 431 138.1739741484836 5.345043196315924 -0.17252903572469336
2458864 18.565 0.044 zr 431 136.15269711533475 5.517655805177177 -2.193806068873556
2458893 18.56 0.045 zr 431 136.78114941105747 5.669104241456861 -1.5653537731508322
2458912 18.553 0.036 zr 431 137.66585897295838 4.564617907469106 -0.6806442112499269
2458916 18.563 0.031 zr 431 136.40373079150993 3.894606844651366 -1.942772392698373
2458943 18.585 0.035 zr 431 133.66763032960284 4.308935302178953 -4.6788728546054585
2458966 18.553 0.029 zr 431 137.66585897295838 3.6770533143501134 -0.6806442112499269
2458972 18.577 0.052 zr 431 134.6561672594612 6.449191494956044 -3.690335924747103
2458986 18.587 0.028 zr 431 133.42163209749816 3.4408042048871144 -4.924871086710141
2458992 18.611 0.029 zr 431 130.50472892687267 3.485779623350052 -7.841774257335629
2458995 18.542 0.028 zr 431 139.0676925933231 3.5864101938835997 0.7211894091147997
2458998 18.56 0.026 zr 431 136.78114941105747 3.2754824506195193 -1.5653537731508322
2459001 18.589 0.041 zr 431 133.1760865937767 5.029048056439477 -5.170416590431614
2459012 18.536 0.024 zr 431 139.83833646994484 3.091100822253894 1.4918332857365328
2459015 18.585 0.032 zr 431 133.66763032960284 3.9395979905636143 -4.6788728546054585
2459024 18.519 0.045 zr 431 142.0450974015473 5.887276628574423 3.698594217339007
2459027 18.574 0.034 zr 431 135.02875050528394 4.228446557331475 -3.3177526789243643
2459036 18.539 0.051 zr 431 139.45248219004182 6.550464616104883 1.1059790058335182
2459039 18.498 0.027 zr 431 144.8192349666769 3.6013530054211813 6.4727317824686
2459045 18.562 0.028 zr 431 136.52942114403047 3.5209508306711275 -1.8170820401778371
2459048 18.552 0.027 zr 431 137.79271232399228 3.426618009460769 -0.5537908602160257
2459051 18.59 0.032 zr 431 133.05348335462827 3.9214971819942206 -5.293019829580032
