jd mag magerr filt field
2459845 18.57 0.039 zr 414
2459845 18.52 0.034 zr 414
2459847 18.701 0.042 zr 414
2459847 18.635 0.039 zr 414
2459847 18.536 0.035 zr 414
2459847 18.518 0.035 zr 414
2459847 18.576 0.038 zr 414
2459861 18.506 0.059 zr 414
2459863 18.482 0.049 zr 414
2459872 18.536 0.039 zr 414
2459872 18.517 0.037 zr 414
2459873 18.596 0.038 zr 414
2459873 18.526 0.031 zr 414
2459875 18.559 0.026 zr 414
2459878 18.587 0.027 zr 414
2459881 18.583 0.03 zr 414
2459883 18.581 0.032 zr 414
2459893 18.561 0.053 zr 414
2459893 18.564 0.055 zr 414
2459895 18.501 0.048 zr 414
2459897 18.419 0.051 zr 414
2459898 18.512 0.04 zr 414
2459899 18.54 0.031 zr 414
2459901 18.466 0.026 zr 414
2459903 18.507 0.033 zr 414
2459904 18.545 0.026 zr 414
2459906 18.558 0.029 zr 414
2459906 18.528 0.028 zr 414
2459908 18.515 0.028 zr 414
2459909 18.496 0.028 zr 414
2459909 18.507 0.026 zr 414
2459911 18.517 0.032 zr 414
2459913 18.559 0.03 zr 414
2459914 18.531 0.025 zr 414
2459922 18.45 0.037 zr 414
2459922 18.437 0.035 zr 414
2459923 18.62 0.063 zr 414
2459928 18.414 0.049 zr 414
2459932 18.509 0.026 zr 414
2459932 18.53 0.025 zr 414
2459934 18.546 0.031 zr 414
2459934 18.535 0.027 zr 414
2459935 18.524 0.03 zr 414
2459935 18.559 0.024 zr 414
2459936 18.493 0.031 zr 414
2459936 18.541 0.027 zr 414
2459936 18.561 0.024 zr 414
2459951 18.518 0.096 zr 414
2459956 18.614 0.037 zr 414
2459957 18.545 0.032 zr 414
2459968 18.681 0.033 zr 414
2459968 18.562 0.032 zr 414
2459971 18.611 0.034 zr 414
2459971 18.536 0.027 zr 414
2459972 18.581 0.032 zr 414
2459972 18.521 0.028 zr 414
2459972 18.521 0.026 zr 414
2459984 18.579 0.049 zr 414
2459984 18.519 0.065 zr 414
2459985 18.572 0.034 zr 414
2459987 18.542 0.028 zr 414
2459993 18.527 0.035 zr 414
2459994 18.635 0.03 zr 414
2459994 18.617 0.032 zr 414
2459994 18.611 0.03 zr 414
2460013 18.571 0.043 zr 414
2460020 18.654 0.025 zr 414
2460031 18.608 0.031 zr 414
2460036 18.64 0.057 zr 414
2460043 18.635 0.072 zr 414
2460045 18.656 0.028 zr 414
2460051 18.722 0.024 zr 414
2460053 18.604 0.042 zr 414
2460055 18.661 0.034 zr 414
2460057 18.582 0.029 zr 414
2460059 18.631 0.043 zr 414
2460061 18.607 0.038 zr 414
2460065 18.672 0.064 zr 414
